,Unnamed: 0.1,Unnamed: 0,CIK,GVKEY,NAICS,COMPANY_NAME,MCAP,REVT,ROA,NPM,REVCHANGE,ROE,NUM_SAVVY,NUM_DIR,COMMITTEES,Directors
23,23,23,318154.0,1602.0,325414.0,Amgen Inc.,125600.751,25979.0,0.206,0.294,8.65185403902464,1.498,1,10,compensation committee;audit committee,"sugar, ronald; eckert, robert; baltimore, david; miles, amy; holley, charles; mccormick, frank; garland, greg; drucker, daniel; medzhitov, ruslan; pardoll, drew; anderson, david; mathis, diane; libby, peter; kullman, ellen; druker, brian; jacks, tyler; drake, michael; siu, lillian; tjian, robert; kuriyan, john; evans, ronald; austin, wanda; williams, r.; negrin, robert; bradway, robert; rudensky, alexander; hynes, richard; molkentin, jeffery; weissman, jonathan; georgiou, george; guttman-yassky, emma; abreu, maria; jäger, dirk; mcnally, elizabeth; kass, david; sharpe, arlene; sheppard, dean; van den eynde, benoit; ribas, antoni; eckhardt, s.; marson, alexander; han, meilan; hu-lieskovan, siwen; rabinovitch, marlene; kelly, daniel; quertermous, thomas; abel, e.; sigal, elliott"
24,24,24,6176.0,1613.0,332111.0,Ampco-Pittsburgh Corporation,95.92,344.92,0.052,0.026,9.82055204998593,-0.114,11,11,compensation committee;audit committee,"paul, robert; abel, james; german, michael; paul, laurence; pforzheimer, carl; lieberman, william; paul, stephen; fessenden, elizabeth; blomquist, johan; demichiei, robert; mcnair, darrell; mcbrayer, j."
25,25,25,6281.0,1632.0,334413.0,"Analog Devices, Inc.",91139.67519,7318.286,0.113,0.218,11.601813480134,0.067,2,6,Talent committee;audit committee,"stata, raymond; champy, james; glimcher, laurie; jennings, stephen; roche, vincent; sicchitano, kenton; frank, edward; chandrakasan, anantha; henry, peter; golz, karen; wee, susie; andonian, andre"
26,26,26,821026.0,1659.0,424510.0,"The Andersons, Inc.",1310.68189,12612.05,0.04,-0.001,39.0851121192167,0.118,0,11,audit committee,"anderson, michael; manire, ross; stout, john; king, robert; bowe, patrick; hershberger, pamela; douglas, gary; campbell, steven"
27,27,27,6845.0,1686.0,332321.0,"Apogee Enterprises, Inc.",961.7036,1230.774,0.114,0.055,27.2047880728069,0.131,8,9,compensation committee;audit committee,"pompa, mark; nolan, donald; wagner, patricia; heard, frank; lilly, elizabeth; silberhorn, ty"
28,28,28,320193.0,1690.0,334220.0,Apple Inc.,2324390.219,365817.0,0.234,0.209,23.9741559730587,1.755,5,9,compensation committee;audit committee,"cook, timothy; levinson, arthur; jung, andrea; lozano, monica; gore, albert; bell, james; gorsky, alex; wagner, susan"
29,29,29,6951.0,1704.0,333242.0,"Applied Materials, Inc.",121891.8,23063.0,0.234,0.21,26.2932214214032,0.533,9,9,compensation committee;audit committee,"chen, xun; morgan, james; dickerson, gary; kelly, john; forrest, stephen; march, kevin; suresh, subra; chu, steven; iannotti, thomas; borkar, rani; karsner, alexander; nalamasu, omkaram; mcgill, yvonne; strickland, donna; reif, l.; alivisatos, armand; blank, steve; park, sungwook"
30,30,30,6955.0,1706.0,333132.0,Enerpac Tool Group Corp.,1515.18552,528.66,0.052,0.009,11.7815847041109,0.053,0,6,compensation committee;Sustainability committee;audit committee,"ferland, e.; clarkson, john; minella, lynn; altavilla, alfredo; holder, richard; sternlieb, paul; altmaier, judy; cunningham, danny; healy, colleen; simmons, sidney"
31,31,31,7039.0,1712.0,324110.0,Trecora Resources,190.6072,272.69,0.067,-0.064,7.230275303808,0.04,0,7,compensation committee;audit committee,"carter, nicholas; twitchell, karen; adams, gary; roemer, janet; peakes, adam"
32,32,32,7084.0,1722.0,31122.0,Archer-Daniels-Midland Company,37850.4,85249.0,0.058,0.025,10.5565251114989,0.167,2,12,audit committee,"crews, terrell; collins, james; harrison, suzan; luciano, juan; de brabander, ellen; schlitz, lei; colbert, theodore"
33,33,33,7536.0,1773.0,423690.0,"Arrow Electronics, Inc.",9139.22182,34477.018,0.066,0.017,-2.5,0.27,7,9,compensation committee;audit committee,"hamilton, gail; kerin, andrew; garcia, fabian; austen, william; kerins, sean"
34,34,34,1674862.0,1794.0,3252.0,Ashland Inc.,5079.84,2111.0,0.069,-0.211,12.0375498481287,0.057,2,10,compensation committee;audit committee,"ihlenfeld, jay; cummins, brendan; teal, janice; peribere, jerome; main, susan; joseph, wetteny; novo, guillermo; bishop, stephen; chattopadhyay, sanat; pedreiro, sergio"
35,35,35,8146.0,1820.0,334118.0,"AstroNova, Inc.",76.626,116.033,0.049,-0.008,25.24364901019,0.007,2,6,compensation committee;audit committee,"schlaeppi, yvonne; woods, gregory"
36,36,36,8063.0,1823.0,336320.0,Astronics Corporation,377.736,444.908,0.042,-0.222,12.5170114851372,-0.107,1,9,Sustainability committee;compensation committee;audit committee,"brady, robert; keane, robert; johnson, warren; frisby, jeffry; gundermann, peter; moran, mark; kim, neil; o’brien, linda"
37,37,37,744187.0,1864.0,325193.0,REX American Resources Corporation,458.388,372.846,0.009,0.008,7.1311655707394,0.094,0,8,compensation committee;audit committee,"rose, stuart; kress, edward; fisher, lee; harris, david; elcan, charles; rizvi, zafar; alphonso, mervyn; bustos, cheryl; macmillan, anne"
38,38,38,769397.0,1878.0,519130.0,"Autodesk, Inc.",60923.628,3790.4,0.127,0.117,12.0950704225352,0.669,4,11,compensation committee;Human Resources committee;audit committee,"blasing, karen; rafael, elizabeth; mcdowell, mary; norrington, lorrie; irving, blake; smith, stacy; french, r.; anagnost, andrew; howard, ayanna"
39,39,39,8670.0,1891.0,518210.0,"Automatic Data Processing, Inc.",84155.294,15005.4,0.09,0.171,11.7105813467169,0.64,7,10,audit committee,"jones, john; lynch, thomas; powers, scott; ready, william; keene, nazzic s.; black, maria; katsoudas, francine; goeckeler, david; bisson, peter"
40,40,40,8818.0,1913.0,322220.0,Avery Dennison Corporation,17889.98142,8408.3,0.168,0.078,16.8231462682326,0.421,10,10,compensation committee;audit committee,"siewert, patrick thomas; stewart, julia; hicks, kenneth; wagner, william; alford, bradley; butier, mitchell; sullivan, martha; reverberi, francesca"
41,41,41,8858.0,1919.0,423690.0,"Avnet, Inc.",3992.00808,19534.679,0.043,-0.005,26.5347198926535,0.182,9,10,Finance committee;audit committee,"bozotti, carlo; lawrence, james; gallagher, philip; khaykin, oleg; modjtabai, avid; freeman, brenda; jenkins, jo"
42,42,42,8947.0,1926.0,335122.0,AZZ Inc.,1282.76772,838.917,0.122,0.014,9.04881108962742,0.107,9,9,compensation committee;audit committee,"berce, daniel; feehan, daniel; mccellon-allen, venita; grannum, clive; purvis, steven; ferguson, thomas; eisman, paul; mcgough, ed; jackson, carol; kaden, david"
43,43,43,9092.0,1968.0,334514.0,"Badger Meter, Inc.",3116.88,505.198,0.21,0.115,6.98062903100904,0.161,9,10,compensation committee;audit committee,"tellock, glen; mcgill, james; adams, todd; stern, james; liu, xia; cook, melanie; bockhorst, kenneth; myers, tessa; brooks, henry"
44,44,44,9326.0,1979.0,325412.0,Balchem Corporation,5443.5882,799.023,0.142,0.12,19.6457832490934,0.116,0,8,compensation committee;audit committee,"knutson, daniel; harris, theodore; fischer, david; wineinger, matthew; rigaud, olivier; lee, joyce; fish, kathleen; vicente, monica"
45,45,45,9389.0,1988.0,332431.0,Ball Corporation,30887.65188,13811.0,0.115,0.045,-4.37313315032841,0.222,0,7,HR committee;Human Resources committee;audit committee,"taylor, stuart; bryant, john; niekamp, cynthia; cave, michael; ross, cathy; fisher, daniel; mariani bittencourt, pedro; sapp, betty; nelson, georgia; ives, dune"
46,46,46,46195.0,2005.0,522110.0,Bank of Hawaii Corporation,3371.59128,698.069,0.016,0.226,54.1222171109797,0.173,2,14,compensation committee;Risk committee;audit committee,"huret, robert; lucien, kent; bitterman, mary g.; nichols, victor; vara, raymond; ho, peter; wo, robert; tanabe, barbara; apoliona, s.; erickson, john; burak, mark; hulst, michelle; moy, alicia; mills, elliot; feldman, joshua; tokioka, dana; vares-lum, suzanne"
47,47,47,1390777.0,2019.0,522110.0,The Bank of New York Mellon Corporation,46704.7416,16158.0,0.022,0.241,15.2102491834313,0.077,4,9,compensation committee;Risk committee,"goldstein, jeffrey; izzo, ralph; cook, linda; robinson, elizabeth beshel e.; vince, robin; echevarria, joseph; o’connor, sandie; gilliland, m.; gowrappan, kumara"
48,48,48,9984.0,2049.0,332613.0,Barnes Group Inc.,2361.41415,1258.846,0.099,0.072,10.020196755489,0.018,0,6,compensation committee;audit committee,"hipple, richard; barnes, thomas; mangum, mylle bell; keating, neal; hook, thomas; haussler, jakki; männer, hans-peter; sohovich, joanna; barnes, elijah; nicolosi, anthony"
49,49,49,10329.0,2080.0,337122.0,"Bassett Furniture Industries, Incorporated",148.77288,486.534,0.001,-0.027,7.52913935093993,0.144,0,8,audit committee,"belk, john; warden, william; fulton, paul; spilman, robert; cashman, kristina; wampler, william; mcdowell, john; hamlet, virginia; battle, emma"
50,50,50,10456.0,2086.0,325412.0,Baxter International Inc.,43058.6316,12784.0,0.148,0.079,19.1736281326597,-0.259,5,13,compensation committee;audit committee,"parkinson, robert; wilver, peter; oesterle, stephen newman; morrison, patricia; almeida, jose; smith, catherine; shafer, david; wilkes, david; ampofo, william; wendell, amy"
51,51,51,109563.0,2101.0,423830.0,"Applied Industrial Technologies, Inc.",3507.26696,3235.919,0.119,0.006,0.239486222013708,0.262,8,9,Sustainability committee;compensation committee;audit committee,"komnenovich, dan; pagano, robert; raver, joe; schrimsher, neil; andrews, madhuri; chadwick, shelly; hall, mary"
52,52,52,10795.0,2111.0,339112.0,"Becton, Dickinson and Company",69929.89032,20248.0,0.084,0.051,36.5338100746661,0.066,6,10,compensation committee;audit committee,"larsen, marshall; ring, timothy; jones, christopher ian; brown, william; gray, martha; fraser-liggett, claire; schnitzer, jay; smith, joseph; byington, carrie; waldstreicher, joanne; perakslis, eric; sands, ken"
53,53,53,1067983.0,2176.0,999977.0,Berkshire Hathaway Inc.,662627.355,354636.0,0.091,0.128,15.4105736782902,-0.003,0,7,audit committee,"chenault, kenneth; buffett, warren; buffett, howard; olson, ronald; abel, gregory; burke, stephen; murphy, thomas; guyman, charlotte; nicely, olza; witmer, meryl; jain, ajit; weitz, wallace"
54,54,54,764478.0,2184.0,443142.0,"Best Buy Co., Inc.",27966.74,47262.0,0.199,0.038,15.0828094542806,0.478,4,11,compensation committee;audit committee,"kenny, david; schulze, richard; rendle, steven; caputo, lisa; doyle, j.; parham, richelle; munce, claudia; woods, eugene; mcloughlin, karen; whittington, melinda; marte, mario; barry, corie; sistani, sima"
55,55,55,1130464.0,2259.0,2211.0,Black Hills Corporation,4568.63123,1949.102,0.086,0.13,16.9265384045134,0.078,0,10,compensation committee;audit committee,"mills, steven; schober, mark; granger, barry; jensen, tony; evans, linden; prochazka, scott; roberts, rebecca; mcallister, kathleen; otto, robert"
56,56,56,12659.0,2269.0,541213.0,"H&R Block, Inc.",4039.43316,3413.987,0.18,0.066,2.3546607227683,-3.107,5,10,compensation committee;audit committee,"winter, matthew; gerard, robert; mends, mia; cohan, sean; gupta, anuradha; piazza, yolande"
57,57,57,315213.0,2312.0,561320.0,Robert Half Inc.,12343.70272,6461.444,0.195,0.061,-3.15650036809721,0.483,2,7,compensation committee;audit committee,"messmer, harold; waddell, m.; richman, frederick; morial, marc; pace, robert; coronado, julia suzanne; wilking, marnie"
58,58,58,1393066.0,2337.0,322121.0,Resolute Forest Products Inc.,1172.736,3664.0,0.057,-0.003,23.6190226881562,0.252,0,8,Finance committee;Sustainability committee;audit committee,"benson, randall; rousseau, michael; dolan, jennifer; martin, bradley paul; blanchet, suzanne; davies, duncan; rheaume, alain"
59,59,59,14272.0,2403.0,325412.0,Bristol-Myers Squibb Company,135673.6,46385.0,0.145,-0.001,23.0951638065523,0.174,7,10,audit committee,"storch, gerald; rice, derica; yale, phyllis; arduini, peter; bhatt, deepak; samuels, theodore; price, paula; haller, julia; caforio, giovanni; boerner, christopher; vousden, karen; medina, manuel"
60,60,60,14693.0,2435.0,312140.0,Brown-Forman Corporation,36517.44812,3461.0,0.204,0.276,-158.250532292406,0.3,0,10,compensation committee;Risk committee;audit committee,"roney, michael; todman, michael; smith, elizabeth; farrer, marshall; singer, jan; brown, campbell; whiting, lawson; clouse, mark; brown, stuart; skeans, tracy; brown, elizabeth"
61,61,61,14707.0,2436.0,448210.0,"Caleres, Inc.",573.66626,2117.07,0.007,-0.161,6.5097285611338,0.496,0,10,audit committee,"klein, ward; millard, wenda; korn, steven; hendra, carla; greeley, lori; schmidt, john; flavin, lisa; gupta, mahendra"
62,62,62,14930.0,2444.0,333618.0,Brunswick Corporation,7749.46109,5846.2,0.17,0.086,10.7306267271352,0.332,8,9,compensation committee,"cooper, nancy; whisler, j.; singer, david; wood, roger; everitt, david; fils-aime, reginald; wright, mary; flaherty, lauren; foulkes, david"
63,63,63,1104657.0,2448.0,331410.0,Materion Corporation,1879.98912,1510.644,0.098,0.02,12.0857532129806,0.103,7,9,compensation committee;Risk committee;audit committee,"shular, craig; phillippy, robert; khilnani, vinod; toth, robert; reddy, n.; liggett, emily; prevost, patrick; solomon, darlene j.; vijayvargiya, jugal"
64,64,64,15615.0,2497.0,237130.0,"MasTec, Inc.",7052.86812,7951.781,0.14,0.049,16.460900988735,0.037,0,8,compensation committee;audit committee,"mas, jorge; johnson, julia; mas, jose; campbell, c.; parker, ava; dwyer, robert; csiszar, ernst; palomarez, javier"
65,65,65,733269.0,2536.0,519130.0,"LiveRamp Holdings, Inc.",3539.72052,443.026,-0.073,-0.215,-0.489611993327412,-0.097,1,8,Finance committee;compensation committee,"battelle, john; kokich, clark; howe, scott; tawakol, omar; chow, vivian; cadogan, timothy; tomlin, debora; o’kelley, brian"
66,66,66,1739940.0,2547.0,524114.0,The Cigna Group,74158.54924,174274.0,0.076,0.034,34.6544210247233,0.12,2,7,audit committee,"cordani, david; zarcone, donna; foss, eric; wiseman, eric; mazzarella, kathleen; delaney, william; mcclellan, mark; ozuah, philip; granger, elder; hathi, neesha"
67,67,67,26058.0,2577.0,33441.0,CTS Corporation,1181.61288,512.925,0.107,0.072,18.677131342709,0.113,6,6,Sustainability committee;Talent committee;audit committee,"profusek, robert; zulueta, alfonso; costello, donna; o'sullivan, kieran; stone, randy"
68,68,68,320121.0,2578.0,541512.0,Telos Corporation,1029.54714,242.433,0.204,-0.031,-3.76281630385373,-0.221,0,8,compensation committee;audit committee,"wood, john; schaufeld, fredrick; borland, david; maluda, john; carroll, bonnie; jacobs, bradley; dockery, derrick"
69,69,69,16040.0,2593.0,325180.0,Cabot Corporation,2843.15724,3400.0,0.131,-0.091,2.90135396518375,0.211,7,11,compensation committee;audit committee,"nathoo, raffiq; del grosso, douglas; wolfgruber, matthias; enriquez, juan; keohane, sean; arnold, cynthia; kirby, william; rataj, susan; wilson, frank; yan, christine; morrow, michael"
70,70,70,16732.0,2663.0,311422.0,Campbell Soup Company,13203.44,8476.0,0.139,0.083,-11.7784837265488,0.18,1,13,audit committee,"hofstetter, sarah; malone, mary alice; mcloughlin, keith; arredondo, fabiola; schmidt, kurt; van beuren, archbold; hilado, maria; averill, howard; hill, grant; lautenbach, marc; dorrance, bennett"
71,71,71,721371.0,2751.0,424210.0,"Cardinal Health, Inc.",16613.19,162467.0,0.065,0.006,21.3145105299699,-0.915,2,14,compensation committee;Sustainability committee;audit committee,"kenny, gregory; mundkur, christine ann; hemingway hall, patricia; evans, david; edison, sheri; killefer, nancy; johri, akhil; chandrasekaran, sujatha; barg, steven; brennan, michelle"
72,72,72,790051.0,2771.0,324122.0,Carlisle Companies Incorporated,12902.24,4810.3,0.129,0.084,2.55979565743021,0.315,0,8,compensation committee;audit committee,"myers, c.; adams, robin; ostrander, gregg; bohn, robert; koch, d.; frias, james; singh, jesse; hansen, maia; ricard, corrine; collins, jonathan"
73,73,73,17843.0,2787.0,331110.0,Carpenter Technology Corporation,1932.20902,1475.6,0.057,-0.045,6.55954236080673,-0.028,9,9,Finance committee,"karol, steven; ward, stephen; ligocki, kathleen; mclane, charles; inglis, i.; younessi, ramin; thene, tony; pritchett, colleen; acoff, viola; hart, anastasios"
74,74,74,18255.0,2818.0,448120.0,The Cato Corporation,257.00748,575.111,-0.085,-0.069,0.181183787726106,-0.013,1,8,compensation committee;audit committee,"cato, john p.; davies, pamela s.; patrick, bailey; kennedy, bryan; stowe, daniel; henson, thomas; meckley, thomas; drew, theresa"
75,75,75,278166.0,2820.0,321992.0,"Cavco Industries, Inc.",2083.50835,1108.051,0.106,0.062,5.26108374384237,0.329,0,7,compensation committee;audit committee,"bunger, steven; boor, william; greenblatt, david; blount, susan; kerley, richard; sze, julia"
76,76,76,18926.0,2884.0,517311.0,"Lumen Technologies, Inc.",12845.0756,19687.0,0.133,0.061,10.4193776052579,0.127,10,12,audit committee,"glenn, t.; brown, peter; clontz, steven; roberts, michael; jones, hal; chilton, kevin; fowler, james"
77,77,77,19584.0,2960.0,621610.0,Chemed Corporation,7889.57352,2139.261,0.278,0.131,27.0271090277462,0.369,0,10,compensation committee;audit committee,"rice, thomas; laney, sandra; grace, patrick; hutton, thomas; walsh, george; lindell, andrea; heaney, christopher; delyons, ron; mount, john; mccarthy, eileen"
78,78,78,19617.0,2968.0,522110.0,JPMorgan Chase & Co.,466205.99415,127202.0,0.02,0.191,15.7561904761905,0.145,3,10,audit committee,"dimon, james; neal, michael; bammann, linda; hobson lucas, mellody; rometty, virginia; combs, todd; li, david"
79,79,79,19745.0,2986.0,221210.0,Chesapeake Utilities Corporation,2574.27555,569.968,0.093,0.137,19.6427598976202,0.084,0,11,compensation committee;audit committee,"bresnan, thomas; maddock, paul; hudson, dennis; bisaccia, lisa; hill, thomas; jaber, lila; petrone, sheree; householder, jeffry; forsythe, ronald; gary, stephanie"
80,80,80,749647.0,2990.0,325414.0,"Imunon, Inc.",46.74132,0.5,-0.43,-43.148,14.2292224073233,-0.516,0,9,compensation committee;Technology committee;audit committee,"pellizzari, christine; el-deiry, wafik; cheresh, david; weinblatt, michael; fritz, frederick; tardugno, michael; glickson, jerry; dewhirst, mark; corry, peter; le goff, corinne; braun, donald; lindborg, stacy; glaunsinger, britt; yang, xinzhen; barouch, dan; handke, luke; ott, patrick; shukla, sachet; shiver, john"
81,81,81,20212.0,3028.0,713210.0,Churchill Downs Incorporated,9178.29,1597.2,0.056,0.002,-0.201314964240588,0.738,1,7,compensation committee;audit committee,"grissom, j.; grissom, douglas; wells, darrell; meeker, thomas; mcdonald, james; bidwill, charles; humphrey, g.; pollard, carl; fealy, robert; bridgeman, ulysses; harrington, daniel; duchossois, craig; varga, paul; clay, catesby; carstanjen, william; rankin, r.; carter, andréa"
82,82,82,723254.0,3062.0,812331.0,Cintas Corporation,36789.72594,7116.34,0.188,0.139,17.8239185487622,0.331,1,9,compensation committee;Risk committee;audit committee,"farmer, scott; carnahan, karen; scaminace, joseph; tysoe, ronald; barrett, john; mucci, martin; adolph, gerald; schneider, todd; barstad, melanie; coletti, robert"
83,83,83,1400891.0,3105.0,515112.0,"iHeartMedia, Inc.",2984.18736,3558.34,0.047,-0.611,16.2678638585935,-0.164,3,7,compensation committee;audit committee,"pittman, robert; bressler, richard; mills, cheryl; gerstner, bradley; rasulo, james; englebardt, sam; sivaramakrishnan, kamakshi; santos, enrique; monteagudo, graciela"
84,84,84,764065.0,3107.0,331110.0,Cleveland-Cliffs Inc.,10888.46143,20444.0,0.033,-0.034,0.0,0.433,0,8,compensation committee;audit committee,"gerber, william; michael, ralph; baldwin, john; stoliar, gabriel; goncalves, c.; yocum, arlene; green, susan; taylor, douglas; miller, janet; bloom, ron"
85,85,85,21076.0,3121.0,325612.0,The Clorox Company,22089.3498,7341.0,0.287,0.161,33.9860934934689,0.841,1,12,compensation committee;audit committee,"fleischer, spencer; mackay, allan; williams, christopher; parker, paul; lee, esther; shattock, matthew john; tesija, kathryn; weiner, russell; rendle, linda; plaines, stephanie; denman, julia"
86,86,86,21344.0,3144.0,312111.0,The Coca-Cola Company,256083.25,38655.0,0.123,0.249,-0.977827973607563,0.379,2,13,compensation committee;audit committee,"diller, barry; allen, herbert; lagomasino, maria; gayner, thomas; herman, alexis; bolland, marc; davis, christopher; gayle, helene; quincey, james robert; de sautuola y o'shea, ana; everson, carolyn; khouri, zahi; thirumalai, krishnakumar; millhiser, amity; tsay, caroline; weinberg, david"
87,87,87,215466.0,3153.0,21222.0,"Coeur Mining, Inc.",1294.8768,832.828,-0.038,-0.342,12.257827081307,-0.159,8,10,audit committee,"mellor, robert; krebs, mitchell; arellano, eduardo; krcmarov, robert; hull, jeane; adamany, linda; edwards, sebastian; gress, randolph; das, paramita"
